retailerId|mobile|masterAppOrderId|appOrderId|transactionAmount|orderDate|orderStatus|paymentMode|paymentMethod|paymentDesc|gstId
--|72|cdxnamf|aqxkr|99.86387|2023-04-19|Delivered|sfdjsxxmjfysj|{classsize=0.20|--|--
--|85|upsnbhszmyupq|ctmhggzpezv|45.581814|2023-06-18|Delivered|bcllwogoi|{classsize=0.20|--|--
--|5|rimjxzyetavmpq|nwvxiijgkd|36.710903|2023-05-04|Delivered|nzmjcro|{classsize=0.20|--|--
--|31|ddopjx|horarh|19.007727|2023-04-11|Delivered|xfqofhubqjsvkh|Credit|--|--
--|59|xdjfm|psfgxtcilpcqvo|32.192417|2023-01-05|Delivered|mlvzdllkhfgw|UPL|--|--
--|28|bjointnmuvfjmg|auzthy|18.999228|2023-07-24|Delivered|dqgdjn|Credit|--|--
--|59|crcujkrioyttn|emftrqwxk|21.470871|2023-01-27|Delivered|hreynzsyyimj|UPL|--|--
--|63|jdpejpepqekr|zpoktcrtnxh|57.053356|2023-08-01|Delivered|xahtgb|UPL|--|--
--|91|xskne|vktwczs|59.33327|2023-03-28|Delivered|lmksv|UPL|--|--
--|86|vtdpn|jolqursfqarc|88.66956|2023-01-12|Delivered|uqcvvzzi|UPL|--|--
--|98|nyymfic|bmctdljxolul|66.507034|2023-04-07|Delivered|uklngspnh|{classsize=0.20|--|--
--|15|ehfnvwg|sipbmfizh|63.81901|2023-01-03|Delivered|lgodprxga|Credit|--|--
--|52|teddeqioayjlm|xhewcglyztia|78.91163|2023-05-06|Delivered|kmmds|Credit|--|--
--|84|gfscvg|qtzmrwbdpbjqz|72.7325|2023-04-22|Delivered|skowsetcerg|Credit|--|--
--|21|obrmfif|dkxdroejahfzsb|90.86164|2023-05-14|Delivered|eyppf|{classsize=0.20|--|--
--|82|vhiofobzsvvg|lykibxorzuxgk|90.52258|2023-04-25|Delivered|gjbndsiczfv|Credit|--|--
--|11|dnhaqhugsoxjf|blmntqkwyvxg|8.236913|2023-04-28|Delivered|cnpptfm|Credit|--|--
--|20|jjqxgpio|cnqjbkmikeam|49.15556|2023-08-07|Delivered|yjtpmr|{classsize=0.20|--|--
--|76|acdtv|csmmna|52.635273|2023-04-19|Delivered|fswfz|UPL|--|--
--|17|nplmnlarns|xwpivm|90.288956|2023-03-13|Delivered|blxnidndphu|{classsize=0.20|--|--
--|0|elnqqvfrsghzit|fpeuzye|82.523636|2023-03-03|Delivered|cmzaszoctwsl|{classsize=0.20|--|--
--|63|oxmts|saszaie|77.49007|2023-04-09|Delivered|lfovbj|UPL|--|--
--|46|wggidrvfymu|btthuhcdswsyb|22.402967|2023-03-14|Delivered|zqktxorm|UPL|--|--
--|19|wmqyzfhmxep|flvzfz|71.35129|2023-03-21|Delivered|cegdqkdwdvef|{classsize=0.20|--|--
--|27|tjwtoclxzhwmz|jicnwois|16.002815|2023-02-18|Delivered|nxlzmghxchuo|UPL|--|--
--|1|yvsztnfiazf|ovfggjgkgbyso|96.01775|2023-02-23|Delivered|bwagx|{classsize=0.20|--|--
--|96|byykypi|ijxeizubkb|44.520996|2023-07-10|Delivered|erdzp|{classsize=0.20|--|--
--|48|skewytncrcnj|cmnfrgvobszi|50.642963|2023-05-11|Delivered|dpmdhvl|{classsize=0.20|--|--
--|99|pcoaznjzlcjxq|ekfhm|75.92407|2023-06-13|Delivered|pszqpfp|UPL|--|--
--|77|rpntof|rvatxuxncs|44.288017|2023-05-06|Delivered|kmkkuyxzxddnpy|{classsize=0.20|--|--
--|29|rtseoqc|quatlfdbdfoqn|36.324245|2023-04-02|Delivered|fwezqhlrj|UPL|--|--
--|5|uftngd|lftftnvugxho|57.78009|2023-07-01|Delivered|poynpsx|{classsize=0.20|--|--
--|92|fjuyyrhkiobnf|fjzgmcfr|19.448307|2023-06-18|Delivered|wlrpbxurqy|UPL|--|--
--|91|hbavoetd|etsaryonzovu|61.045746|2023-02-12|Delivered|wbbrjrjrzxldnj|Credit|--|--
--|67|sqace|xdxxh|75.214226|2023-07-31|Delivered|clulafj|{classsize=0.20|--|--
--|49|bhvzapm|htupjojgtu|39.434715|2023-06-19|Delivered|tiumxganbbnf|UPL|--|--
--|61|gedmdvc|fgejyidwdcupdz|43.431057|2023-02-04|Delivered|dldtnfnwhl|UPL|--|--
--|75|tkbppfvgbofa|bqwihn|7.549817|2023-01-11|Delivered|otrxwhzgx|Credit|--|--
--|62|dmadqqubisbmf|hkwliaxkizs|23.637728|2023-08-02|Delivered|tkwgaxoaykrsg|Credit|--|--
--|71|mhorxkawfb|unciem|14.098576|2023-03-28|Delivered|eykdgalo|{classsize=0.20|--|--
--|76|ochlupbngbiowb|whccnfnhckzwt|97.09641|2023-02-11|Delivered|cqnjr|{classsize=0.20|--|--
--|95|ttqthegdglkzag|nrxen|66.2822|2023-05-28|Delivered|oyqvky|{classsize=0.20|--|--
--|45|bdxivvgwctt|poxkhlnv|41.95605|2023-06-16|Delivered|ezqwotwhwqjw|Credit|--|--
--|1|hyjiqdmazcm|ohpffedlop|27.237555|2023-05-28|Delivered|xsjymijgwavojy|Credit|--|--
--|87|sndzfx|heagsqdfrciff|7.6016297|2023-02-27|Delivered|ccdocryuqc|UPL|--|--
--|44|qaeqsekl|myvnrpqcjvkrmw|65.04769|2023-04-09|Delivered|cmmiv|Credit|--|--
--|9|qiqhiwvk|eyaclzkprgpa|39.20493|2023-06-26|Delivered|vxkyya|{classsize=0.20|--|--
--|15|neatuumqrdio|icowga|56.836697|2023-01-21|Delivered|xiiekavnjq|Credit|--|--
--|39|uywevqjaycfuaq|fsskbplsmop|68.49229|2023-03-12|Delivered|uhtkqiqoeaczve|{classsize=0.20|--|--
--|26|hucqsglt|kpkshhvywj|76.46427|2023-06-08|Delivered|ivngfitkqljdu|UPL|--|--
--|70|ycuajcnzzsw|fzbmhszguh|11.745011|2023-08-04|Delivered|rsitk|{classsize=0.20|--|--
--|17|crjmhmn|cmkvfevjlw|19.335896|2023-05-28|Delivered|nuoaxsusp|{classsize=0.20|--|--
--|79|bzbaraoanroctk|mvyecmhy|41.048134|2023-05-22|Delivered|vhpgwjq|UPL|--|--
--|37|oeortvtw|jynjyhv|42.84406|2023-02-25|Delivered|bxryhy|UPL|--|--
--|2|xzktnzskmei|ovpefaflohpv|19.803022|2023-02-22|Delivered|fmdvkznrwld|Credit|--|--
--|6|yvuel|envsx|25.956184|2023-04-10|Delivered|hsmfbjhyv|{classsize=0.20|--|--
--|15|vunlxrq|wrkip|18.519564|2023-05-09|Delivered|legnwtfp|{classsize=0.20|--|--
--|78|mawra|exmyrevnsy|76.464966|2023-01-14|Delivered|rfbqtyqaheg|Credit|--|--
--|75|qldczjxnd|napegeytpwgm|51.903515|2023-01-02|Delivered|matvd|Credit|--|--
--|91|zpiirjlvuw|rgtmtm|39.416645|2023-06-25|Delivered|wtxuetfl|{classsize=0.20|--|--
--|80|skdovcebzduy|nboykbt|3.2546399|2023-01-02|Delivered|xlgmgrazzptc|UPL|--|--
--|71|hwzrh|ooxzldfqco|85.232895|2023-02-24|Delivered|uvgvf|UPL|--|--
--|9|batnsrkqexupv|qpjgczwi|27.191257|2023-01-22|Delivered|kqyktsqupnvni|UPL|--|--
--|64|zmltg|dtvjua|81.04196|2023-02-26|Delivered|crebm|Credit|--|--
--|61|vlbgukkabypyc|rngqgnalw|46.716835|2023-07-26|Delivered|jnibruqwhhcfv|UPL|--|--
--|86|yzyvotkiacfqq|spuztitwkk|73.734604|2023-05-26|Delivered|uvgmlpoqzlxhvp|{classsize=0.20|--|--
--|13|sgwuzplbrli|ntluhnuhyfr|85.64425|2023-07-07|Delivered|qxsudha|Credit|--|--
--|97|rhodrnmtded|iamyqv|38.260582|2023-03-23|Delivered|emofksuprgak|UPL|--|--
--|44|eshifqlm|acrmyquk|2.3933344|2023-04-25|Delivered|hvkzavbnagj|Credit|--|--
--|55|dontrhu|bstertfvszx|69.68118|2023-03-09|Delivered|qpjyq|UPL|--|--
--|47|pvkbmx|mpuosadyd|16.177355|2023-02-12|Delivered|ojjajhp|{classsize=0.20|--|--
--|10|qvlxcuygakuiiw|cvxfrzgjamiwa|22.493528|2023-03-16|Delivered|jmygdlnlplep|UPL|--|--
--|39|uosqsuuadsagn|vsshcjjukm|41.594|2023-06-03|Delivered|rcgpazdkoxkyu|Credit|--|--
--|98|serwjpcifcgmf|dhtjlampy|25.74218|2023-02-19|Delivered|sazuxsu|{classsize=0.20|--|--
--|37|epvuyyl|elhaixaiibnyt|72.63657|2023-04-01|Delivered|wxqkxknqvqv|UPL|--|--
--|29|liatmlqo|lypilcftd|27.433792|2023-06-29|Delivered|indxzvnspuveqq|UPL|--|--
--|95|rstos|ccpckx|82.140945|2023-01-01|Delivered|bpbdciigyfnio|UPL|--|--
--|47|bescse|rlttpws|46.7703|2023-07-04|Delivered|vnqcniikkiculm|{classsize=0.20|--|--
--|47|gtewczyyacu|hpqweezwxverp|27.683928|2023-01-12|Delivered|jodydqum|Credit|--|--
--|90|frzcjcmew|dyfvigqqodwvk|37.716393|2023-01-01|Delivered|lkcrhwgbroz|UPL|--|--
--|12|tbvna|xclvqszu|79.948715|2023-06-18|Delivered|lfinn|UPL|--|--
--|94|fslmfwbsj|wbuuwgjz|92.416794|2023-07-25|Delivered|rjdtnaht|Credit|--|--
--|24|geichvuidzxet|teggufwsnnfz|14.57295|2023-02-22|Delivered|amcjewbw|Credit|--|--
--|86|wphfqnlgizw|ynzzjaanuzlaz|37.97905|2023-04-11|Delivered|eedjryjripnf|UPL|--|--
--|0|hwmehrl|hgoozhux|33.49513|2023-06-05|Delivered|dwwitsq|Credit|--|--
--|50|jzlljjhjztkg|uyfhitndtaz|5.1374164|2023-06-06|Delivered|dyhjevtlaberg|Credit|--|--
--|72|jsaizk|pivdxu|6.814865|2023-08-07|Delivered|fhrvisozteokxg|Credit|--|--
--|20|cxqggoe|kraqalt|72.31346|2023-04-26|Delivered|cqeee|Credit|--|--
--|66|lwnjbrrtpiadn|vmhrhexpolshgq|51.182743|2023-01-30|Delivered|rbnprtdfxsmh|{classsize=0.20|--|--
--|59|tlimtazwrtg|kfclhpnt|13.589047|2023-06-07|Delivered|mszlbdzhycbi|Credit|--|--
--|7|puzxzqtvpa|dxjiqomctscce|85.73531|2023-02-19|Delivered|ptkmqiooth|Credit|--|--
--|48|ozwdlbpi|ugphtyt|4.107245|2023-02-12|Delivered|eqdcm|Credit|--|--
--|13|rwmopjeehoynpp|fwtseudk|31.590897|2023-02-01|Delivered|ztegs|UPL|--|--
--|89|zkqaxfew|gjuls|61.416916|2023-03-12|Delivered|qpwjurvchyslzh|Credit|--|--
--|33|yyxlmc|hqecvujfkceqql|45.921764|2023-02-10|Delivered|ivlytz|Credit|--|--
--|20|iawfipt|wibyapa|26.276457|2023-07-21|Delivered|hfbhlezsre|UPL|--|--
--|99|dthwjkteydlvt|noujdb|6.618427|2023-06-17|Delivered|ebsgqtuccw|{classsize=0.20|--|--
--|1|dkevw|bvkjqpmu|11.432455|2023-02-20|Delivered|kvufa|Credit|--|--
--|42|alojirfz|ysvbsunhdhdjnf|88.561516|2023-04-05|Delivered|awdljky|Credit|--|--
--|7|hoemkvujcxulsz|semhhcz|71.88878|2023-05-25|Delivered|mhqlsmg|UPL|--|--
--|43|ioezykrpebvtce|xyfpdskh|97.517|2023-05-18|Delivered|xodmyj|Credit|--|--
--|90|pitst|mtammvcwmpxyv|75.18179|2023-01-27|Delivered|dtbescjmzn|Credit|--|--
--|78|awjvuahunmeyae|wjhiskhqtaj|52.670326|2023-08-05|Delivered|rpkxo|Credit|--|--
--|8|abniocydefv|pjogqwmnttei|75.1773|2023-03-15|Delivered|bzaiovqtxgqbqa|Credit|--|--
--|16|ydywmp|rypmfab|33.81505|2023-03-22|Delivered|lzjtktedafkq|UPL|--|--
--|4|tkhfwmv|cwrbfhuxhst|17.904846|2023-07-16|Delivered|msnhcepsacsff|{classsize=0.20|--|--
--|66|ffnryvbnvf|rsbvpnospk|34.211697|2023-03-16|Delivered|nhjlncpyllj|UPL|--|--
--|54|udghbynkc|zlhjlasw|32.94496|2023-06-28|Delivered|iqswntzkrzrbw|UPL|--|--
--|51|ahaibbgqi|kkhbttnxu|85.132355|2023-07-28|Delivered|srezpuayvy|Credit|--|--
--|21|sdntuavj|ernvv|88.88506|2023-03-30|Delivered|denod|UPL|--|--
--|60|wrbnlpdjgz|xhjrnhyjtvsm|43.106747|2023-03-10|Delivered|oftaw|Credit|--|--
--|99|mkgcn|hnxscfuj|16.359554|2023-05-05|Delivered|ifseoxte|Credit|--|--
--|14|yllilcfqsslbd|vfoqf|55.885254|2023-04-16|Delivered|ohdfzgn|{classsize=0.20|--|--
--|90|rbptawz|zofqlie|27.189775|2023-04-20|Delivered|ldpsjjxdeskglz|UPL|--|--
--|89|mfggkty|awtpajdlupauhh|48.13472|2023-06-08|Delivered|pxcechtfwuhre|UPL|--|--
--|19|orutfnl|unqepbqvoga|83.139435|2023-01-02|Delivered|eisrijgtxfvq|UPL|--|--
--|25|rvnxv|ofaetzhmlkdoq|92.88245|2023-02-17|Delivered|skgrgvvnwjbny|Credit|--|--
--|87|jgsruokxmc|mmbpifyb|92.80117|2023-01-04|Delivered|yidis|UPL|--|--
--|62|fpfzfu|bnazjweqsiyy|59.724144|2023-06-17|Delivered|lwkjsckpz|Credit|--|--
--|47|rmorafxrjlz|ptbfyzaoos|40.129795|2023-08-02|Delivered|skjbks|Credit|--|--
--|27|ysiha|ynpwridk|55.81145|2023-01-16|Delivered|oherwod|Credit|--|--
--|0|liqqysaogfxzso|kmaemopqrzazz|73.137924|2023-06-03|Delivered|rqgptbgu|Credit|--|--
--|68|zdudddbr|hurwsw|0.6345646|2023-05-19|Delivered|dihuhhe|{classsize=0.20|--|--
--|8|pmkxutago|unixulxsjf|6.2695804|2023-06-16|Delivered|gzmmfduafpod|Credit|--|--
--|0|bokgr|ssktxpbphvv|0.61570203|2023-01-07|Delivered|knpzudrmkrycm|{classsize=0.20|--|--
--|33|lgqwmcgq|atvzmja|14.967396|2023-02-09|Delivered|dgqedmszu|UPL|--|--
--|69|pvubazdn|usuptgfrfbjbl|14.52896|2023-07-06|Delivered|mbpvfu|{classsize=0.20|--|--
--|88|qbywuyttxetuj|fancqp|25.94904|2023-04-27|Delivered|njebxrstgrvvyn|Credit|--|--
--|14|idguymtcjegnb|vlmnhptnmxsnh|25.762222|2023-05-12|Delivered|ptunwgpkwwwagb|{classsize=0.20|--|--
--|77|xxbacpssbu|udlxhydubj|31.708515|2023-06-18|Delivered|mdqmrun|Credit|--|--
--|40|xawdmgzamd|klyxmrkn|62.436733|2023-07-25|Delivered|fkvkqlbsnc|{classsize=0.20|--|--
--|18|ovefeeev|bqmig|82.757904|2023-03-13|Delivered|ghomdwsbutchnl|Credit|--|--
--|12|lsceal|qkkyb|31.399958|2023-03-02|Delivered|rurtl|UPL|--|--
--|95|sfgikbrl|arvictvzoptak|36.125248|2023-07-22|Delivered|wavpilrkjwnrgt|{classsize=0.20|--|--
--|21|arfnkcat|fyjtv|57.10736|2023-03-12|Delivered|vdpkriotj|Credit|--|--
--|0|urruj|noovwziso|63.624146|2023-02-27|Delivered|itvszwhzlalmuz|{classsize=0.20|--|--
--|62|kzyuekduqr|rjwjkfvkiwffl|41.40873|2023-02-25|Delivered|hiltjvlgygnz|UPL|--|--
--|89|mzhwwjddd|tahdmgfxrta|48.410706|2023-04-09|Delivered|kmeeuuf|UPL|--|--
--|56|omily|cxmlcg|85.254654|2023-06-03|Delivered|yzoxflqswow|{classsize=0.20|--|--
--|31|urwortpqee|eznnby|23.343452|2023-02-21|Delivered|sqjmzrcxyr|UPL|--|--
--|71|zultddmc|tgnmrikoxx|38.338814|2023-05-22|Delivered|kznhjesdav|UPL|--|--
--|6|dkahao|lsclwhisq|29.661882|2023-07-07|Delivered|epsxjxi|UPL|--|--
--|42|uuhafusjc|znjhhyiecse|67.69165|2023-01-01|Delivered|tlncbcx|Credit|--|--
--|42|athwzuixqjge|afmqznqivj|99.499214|2023-03-30|Delivered|qpbleptoadwxqf|{classsize=0.20|--|--
--|79|qffwcgnvhryn|uonitrllvbfwy|61.241123|2023-02-10|Delivered|eqavqvcq|Credit|--|--
--|21|krjrrodirbi|ywhshumztokddk|90.745|2023-02-22|Delivered|stvikp|UPL|--|--
--|46|pubucqu|ovfodfqinnopzf|7.356103|2023-02-08|Delivered|dzvhnhosu|Credit|--|--
--|36|mtfqfo|acjwrsvuivvgra|27.773237|2023-02-04|Delivered|giyuuwfde|{classsize=0.20|--|--
--|64|mhqggwldbk|ctwjxhrkddd|16.388058|2023-02-20|Delivered|othnpxlcghnk|Credit|--|--
--|87|ldbebipyxdkyaf|mrkpju|26.551517|2023-02-04|Delivered|cxczixupvh|UPL|--|--
--|51|mpzqm|wqsjtsrxqjqm|75.22666|2023-03-16|Delivered|xwlmcvdqjuxgkr|Credit|--|--
--|55|kvxnzxkamraqz|xdwxf|7.647004|2023-05-29|Delivered|kijufbstyyrzae|{classsize=0.20|--|--
--|78|ikeycveq|xrtezj|50.884937|2023-03-14|Delivered|gllbtnpyc|UPL|--|--
--|13|dikgkwylftlb|ttzjtggq|25.644682|2023-04-15|Delivered|eqxzqiguu|Credit|--|--
--|77|kzrthql|hkidbfliiwg|84.129585|2023-02-25|Delivered|jojxtdmqhir|Credit|--|--
--|26|puuamzd|nxktbh|68.493614|2023-01-17|Delivered|efmmvtpaq|Credit|--|--
--|82|xhxhnyz|ianqxxe|39.17208|2023-01-21|Delivered|dfnizxohwcp|Credit|--|--
--|23|iiuymeicn|rchex|5.296818|2023-06-25|Delivered|wnszbdgmievrl|UPL|--|--
--|38|llnydxngnd|thuxqf|0.43618146|2023-06-16|Delivered|jlahhnvkyke|UPL|--|--
--|13|gwepvkyfk|webinrnmngr|86.060326|2023-07-10|Delivered|farvkeb|UPL|--|--
--|26|yzbjdkbssbsyxw|kcgyuxkmhiijxl|32.417507|2023-05-16|Delivered|oetnlkn|{classsize=0.20|--|--
--|36|frkrrtbkhatidj|mmwzfl|21.917156|2023-01-14|Delivered|vftsjfkadhtf|{classsize=0.20|--|--
--|96|isaychp|wyitgwvmdppukx|43.65077|2023-06-17|Delivered|iweqdoyttk|Credit|--|--
--|66|fgnlghesjl|tnqigshzsllbyq|99.34171|2023-01-02|Delivered|lgojuzjxrfcqy|Credit|--|--
--|47|sfwfuap|djomgbkp|20.800266|2023-02-27|Delivered|yowut|UPL|--|--
--|39|gahjnl|fuowvtciohhyql|6.8703184|2023-03-12|Delivered|otxyboyojnwnx|Credit|--|--
--|85|bvahynje|fvkhonmvh|23.889349|2023-04-29|Delivered|hyvzmpa|Credit|--|--
--|18|zrgwyw|bvilth|77.84347|2023-01-11|Delivered|sovwixiew|{classsize=0.20|--|--
--|72|iijuquavny|bgzawdum|58.684376|2023-06-22|Delivered|hiaqi|Credit|--|--
--|82|qjydhcrdh|mqlgfisqs|77.68542|2023-07-11|Delivered|nnfzgehybafni|Credit|--|--
--|63|ggperwx|zmsder|67.24886|2023-02-27|Delivered|ybsitax|Credit|--|--
--|74|xpwbfw|frzskrc|89.23682|2023-06-19|Delivered|ybrqfxfax|UPL|--|--
--|74|waudxyefjruktv|xnykzjrhqxxgpu|2.683409|2023-05-04|Delivered|xorisyvml|{classsize=0.20|--|--
--|67|ypknwv|phegms|74.655815|2023-01-29|Delivered|ulhetzknkjm|{classsize=0.20|--|--
--|67|adrtrm|sgbpwbyhtoi|79.06706|2023-06-18|Delivered|wrxxqsalirmumg|{classsize=0.20|--|--
--|26|hdiugelhgaqz|kemxlqgr|17.403572|2023-02-22|Delivered|oogxree|Credit|--|--
--|69|pskpounuchuo|dclvemznrrv|12.615689|2023-06-29|Delivered|xjetvneldgl|UPL|--|--
--|95|zcbxzst|bksojdk|72.829445|2023-01-18|Delivered|gdqgezduew|{classsize=0.20|--|--
--|49|aydwmz|qtwcuriqvwbve|95.073044|2023-02-22|Delivered|yoezgigozq|Credit|--|--
--|25|gulvlv|lgcffaza|80.87179|2023-03-17|Delivered|hecghxdthtwu|UPL|--|--
--|87|rirjgbmmoon|ehshoaq|65.35011|2023-05-05|Delivered|yavsubmbqme|UPL|--|--
--|90|yormizm|mzdpm|19.3898|2023-01-23|Delivered|fkcvhv|{classsize=0.20|--|--
--|22|tdndeqkwasobl|mpzdm|70.428375|2023-04-17|Delivered|rbroqquix|UPL|--|--
--|92|bqmdgjuoimea|oyuxzkuxcsbl|1.6420718|2023-01-01|Delivered|cudrj|Credit|--|--
--|58|igocuzo|lffmlzmhfrf|31.542612|2023-06-03|Delivered|mfwmgnmwdkdz|UPL|--|--
--|59|uotiu|ckamamhywtyup|46.427563|2023-04-10|Delivered|wxsdybxneyczfx|UPL|--|--
--|28|eebdpo|evutmanamjxauv|56.658863|2023-07-06|Delivered|vnvczcrbnt|{classsize=0.20|--|--
--|95|cstercdcvvx|ppfcadhdsskuta|74.40448|2023-06-27|Delivered|bolytolicsdx|Credit|--|--
--|93|gxpcomcx|ejnjkiyeshz|65.26321|2023-05-31|Delivered|apnvlbmns|{classsize=0.20|--|--
--|50|ustwmmvjfru|lemcwdclynknuj|9.102819|2023-06-22|Delivered|voylgl|UPL|--|--
--|69|rxcbsfu|pwzbptojf|16.47693|2023-05-15|Delivered|khcekthckuv|{classsize=0.20|--|--
--|22|fqxads|vfahhf|86.14609|2023-06-01|Delivered|skeuefdlshcmei|Credit|--|--
--|92|fqdxolnie|otxcxublifoik|56.513733|2023-07-31|Delivered|mvgrduk|UPL|--|--
--|8|xhoejyvorjvfn|ygbybke|99.197914|2023-03-08|Delivered|gqbuxl|Credit|--|--
--|88|inxyunxmaqp|ojaokso|26.494638|2023-05-20|Delivered|ykmepg|UPL|--|--
--|43|etfyhfepyejmav|yicidnkeufvsej|36.149128|2023-01-12|Delivered|wwulaqmizcj|{classsize=0.20|--|--
--|95|ceqgpe|dbrbfyrve|96.63615|2023-04-12|Delivered|ojrvwny|Credit|--|--
--|39|cuwmdbedkirrna|rgtfcpe|84.06093|2023-04-06|Delivered|npvktrmdfytv|UPL|--|--
--|22|ihouz|zuszpejgyefyc|17.827328|2023-05-11|Delivered|fmmihbyfhpag|Credit|--|--
--|91|nrlkthxpbobfsf|obxteoq|6.379816|2023-07-23|Delivered|qjxty|Credit|--|--
--|0|dbjapgusjmbzf|pcunzxysyzadv|6.611471|2023-06-03|Delivered|stxtgtufos|UPL|--|--
--|14|mbinehv|pfwoz|20.939816|2023-06-05|Delivered|rxwlh|{classsize=0.20|--|--
--|5|mdmssxibywwc|xtljpsmmpma|4.5878677|2023-07-26|Delivered|ohvqtuim|Credit|--|--
--|25|vtxwgfkehlmk|liqelbd|32.26775|2023-04-23|Delivered|rnccpuosg|{classsize=0.20|--|--
--|24|jqftlmhxuc|lfswhdpnfyohv|78.249405|2023-03-03|Delivered|hdbccwong|UPL|--|--
--|7|lrtgojat|yypzu|96.707085|2023-05-23|Delivered|metfosev|Credit|--|--
--|1|dzjzkajfd|ykobgcyzlx|50.27156|2023-04-04|Delivered|mfdjlqpdby|UPL|--|--
--|27|jcfct|mblyhh|23.875965|2023-04-04|Delivered|suhrqtjelnpgwx|UPL|--|--
--|85|mccjxvhsfyn|gnnjxzdq|78.26848|2023-01-07|Delivered|dpsmunz|Credit|--|--
--|56|xpgyqw|rbgvyowfrn|42.97519|2023-02-08|Delivered|xdurtpcp|Credit|--|--
--|95|itlkxqwoyftwr|uktsepq|22.03164|2023-02-23|Delivered|heuqnkdgjmzw|UPL|--|--
--|8|stgzaish|hrvxlbsuizmea|87.461586|2023-01-16|Delivered|uumjjnyo|UPL|--|--
--|36|aeaccim|qykvolbjwrr|65.26691|2023-02-05|Delivered|wtqcta|{classsize=0.20|--|--
--|64|rrzprqwnblcddh|qbliqnynkce|76.602516|2023-01-25|Delivered|sdezbmdqm|Credit|--|--
--|83|ssyaczfuqpvl|vtseivaxhuyvf|82.84541|2023-05-19|Delivered|tcwzgnbcmvs|{classsize=0.20|--|--
--|30|etcdvlpa|omkbyrjafxuua|97.42714|2023-01-11|Delivered|robonvoj|{classsize=0.20|--|--
--|87|zzxbiop|nugwnsdbluhwlz|69.58404|2023-05-09|Delivered|ivhkuytctyy|UPL|--|--
--|12|wsmlmns|jaktrqscmchxpq|15.589962|2023-04-15|Delivered|tewudgvxbritv|{classsize=0.20|--|--
--|82|upwfjownipab|ggesqteien|71.57103|2023-04-07|Delivered|ibkqwiqdyiz|Credit|--|--
--|76|ifpybcfdbegqax|hfxjixn|68.66245|2023-04-08|Delivered|ibhndopouarkny|{classsize=0.20|--|--
--|5|kkbappefqfkav|kpzsgzles|86.05242|2023-03-14|Delivered|pgpebnfraniybz|Credit|--|--
--|32|mondtfmx|osuarimw|20.36819|2023-02-26|Delivered|gtgxr|Credit|--|--
--|52|arpmtnoivwthey|tlrirmryhhn|20.894863|2023-01-26|Delivered|qswpmiso|Credit|--|--
--|66|mbljhtlo|ajixso|79.277245|2023-06-28|Delivered|sdpsssoyj|Credit|--|--
--|59|psrldzznytgvfu|uqlgjpvsf|29.640503|2023-06-02|Delivered|zrtmwcuelfns|{classsize=0.20|--|--
--|17|uvtonu|jjdjzihbydfp|10.475468|2023-03-26|Delivered|qutnsd|UPL|--|--
--|6|rtdyaunux|hfexfwm|63.16952|2023-02-16|Delivered|gpyanimsfia|Credit|--|--
--|0|loicxqzny|lsvazp|93.72421|2023-07-25|Delivered|hsboijyfqlct|Credit|--|--
--|61|khpsa|dedskbvp|3.985962|2023-07-25|Delivered|fcktvomgxwyp|UPL|--|--
--|14|uydgw|lpbvi|6.6261683|2023-02-10|Delivered|aglwao|UPL|--|--
--|75|wmmjnhw|hyotybd|74.14249|2023-01-18|Delivered|ckbholzsbb|{classsize=0.20|--|--
